Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
3.08979386236083,-0.1265,104.5765,0,0.021505
3.08980084920381,-0.1265,108.2365,0,0.021505
3.08980737794856,-0.1265,111.8965,0,0.021505
3.08978319059165,-0.1265,99.4415,0,0.021505
3.08980960349186,-0.1265,113.2015,0,0.021505
3.08977442347129,-0.1265,95.5865,0,0.021505
3.08982542304773,-0.1265,123.4365,0,0.021505
4.97167623025452,-0.1265,129.3015,0,-0.216315
4.97184768542838,-0.1265,117.3265,0,-0.216315
4.97043929989023,-0.1265,492.6615,0,-0.216315
4.408246135178,247.4465,258.3435,0,423.133515
4.06345567363241,494.09,0,63.3949999999999,844.8939
3.88097758504683,515.435,0,388.495,881.39385
3.7400491064928,447.28,0,698.712,764.8488
3.76220088756743,438.955,0,616.737,750.61305
3.9416406510018,431.17,0,219.316,737.3007
4.20134099326008,415.0929,93.2521,0,709.808859
4.5641312820084,174.8561,386.9889,0,299.003931
7.34064880072055,-0.1265,795.7515,0,-0.51612
7.34074183577476,-0.1265,695.9865,0,-0.51612
7.34072516416021,-0.1265,711.9815,0,-0.51612
7.34074634667985,-0.1265,691.7815,0,-0.51612
7.34072353761275,-0.1265,713.5815,0,-0.51612
3.08996888174702,-0.1265,691.3265,0,0.021505
3.08993034445565,-0.1265,308.9865,0,0.021505
3.08980425710086,-0.1265,110.1165,0,0.021505
3.08993181101139,-0.1265,315.6265,0,0.021505
3.0899308350768,-0.1265,311.1765,0,0.021505
3.08993035347917,-0.1265,309.0265,0,0.021505
3.08993053345974,-0.1265,309.8265,0,0.021505
3.08993502500955,-0.1265,331.2265,0,0.021505
4.97071598204046,-0.1265,302.3765,0,-0.216315
4.97064384542233,-0.1265,336.2265,0,-0.216315
4.97008250240711,-0.1265,2622.1765,0,-0.216315
4.89155685860309,124.9229,2473.3771,0,213.618159
4.6202492199743,672.2084,1942.1416,0,1149.476364
4.48621661337033,1042.732,1600.218,0,1783.07172
4.35555108113145,1251.359,979.791,0,2139.82389
4.43677408785557,976.462,1178.488,0,1669.75002
4.47827313664997,824.144,1217.706,0,1409.28624
4.69234903205026,499.9698,2079.2802,0,854.948358
4.83066133214219,231.7149,2380.2351,0,396.232479
7.34014785261776,-0.1265,3491.0265,0,-0.51612
7.34017359813001,-0.1265,2973.3265,0,-0.51612
7.34017393159304,-0.1265,2967.6265,0,-0.51612
7.34017670661556,-0.1265,2921.0265,0,-0.51612
7.34016933218087,-0.1265,3048.2265,0,-0.51612
3.0899927177566,-0.1265,2953.3265,0,0.021505
3.08995942632732,-0.1265,530.2765,0,0.021505
3.08993628591787,-0.1265,337.7765,0,0.021505
3.08980140095213,-0.1265,108.5365,0,0.021505
3.08978555794323,-0.1265,100.5365,0,0.021505
3.08979015110487,-0.1265,102.7315,0,0.021505
3.08981075955772,-0.1265,113.8915,0,0.021505
3.08982245394164,-0.1265,121.3765,0,0.021505
4.97184500633297,-0.1265,117.4965,0,-0.216315
4.97181102362205,-0.1265,119.6965,0,-0.216315
4.97043306869859,-0.1265,499.7465,0,-0.216315
4.44244637928493,222.2808,275.9342,0,380.100168
